,config,type,scheduling,modulation,periodicity,bias,modem,iteration,index,throughput,latency
164,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,14,9.55,
165,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,15,9.43,
166,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,16,9.66,
167,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,17,9.3,
168,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,18,9.57,
169,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,19,9.42,
170,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,20,9.7,
171,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,21,9.38,
172,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,22,9.43,
173,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,23,9.55,
174,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,24,9.41,
175,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,25,9.56,
176,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,26,9.38,
177,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,27,9.53,
178,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,28,9.53,
179,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,1,1,29,9.39,
185,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,5,6.59,
186,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,6,6.63,
187,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,7,6.65,
188,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,8,6.61,
189,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,9,6.67,
190,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,10,6.59,
191,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,11,6.59,
192,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,12,6.66,
193,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,13,6.67,
194,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,14,6.58,
195,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,15,6.65,
196,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,16,6.61,
197,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,17,6.58,
198,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,18,6.67,
199,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,19,6.63,
200,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,20,6.54,
201,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,21,6.61,
202,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,22,6.68,
203,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,23,6.57,
204,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,24,6.59,
205,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,25,6.57,
206,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,26,6.53,
207,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,27,6.64,
208,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,28,6.59,
209,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,2,1,29,6.5,
215,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,5,,13.5
216,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,6,,15.7
217,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,7,,13.6
218,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,8,,11.7
219,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,9,,15.2
220,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,10,,14.1
221,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,11,,12.6
222,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,12,,15.1
223,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,13,,13.8
224,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,14,,11.3
225,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,15,,15.3
226,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,16,,13.6
227,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,17,,12.2
228,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,18,,15.3
229,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,19,,9.49
230,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,20,,11.7
231,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,21,,15.2
232,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,22,,13.7
233,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,23,,16.1
234,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,24,,11.2
235,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,25,,13.5
236,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,26,,11.8
237,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,27,,15.7
238,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,28,,13.4
239,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,2,1,29,,15.8
245,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,5,9.51,
246,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,6,9.56,
247,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,7,9.64,
248,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,8,9.46,
249,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,9,9.68,
250,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,10,9.43,
251,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,11,9.82,
252,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,12,9.37,
253,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,13,9.58,
254,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,14,9.56,
255,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,15,9.56,
256,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,16,9.8,
257,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,17,9.43,
258,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,18,9.63,
259,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,19,9.56,
260,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,20,9.57,
261,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,21,9.51,
262,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,22,9.56,
263,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,23,9.57,
264,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,24,9.55,
265,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,25,9.68,
266,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,26,9.67,
267,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,27,9.48,
268,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,28,9.68,
269,FS-16QAM-10-slot-BAL,UL,FS,16QAM,10,BAL,2,1,29,9.5,
275,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,5,6.59,
276,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,6,6.57,
277,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,7,6.64,
278,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,8,6.59,
279,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,9,6.57,
280,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,10,6.6,
281,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,11,6.59,
282,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,12,6.67,
283,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,13,6.6,
284,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,14,6.61,
285,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,15,6.64,
286,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,16,6.57,
287,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,17,6.61,
288,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,18,6.63,
289,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,19,6.59,
290,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,20,6.59,
291,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,21,6.57,
292,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,22,6.66,
293,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,23,6.57,
294,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,24,6.59,
295,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,25,6.51,
296,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,26,6.54,
297,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,27,6.56,
298,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,28,6.6,
299,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,3,1,29,6.5,
305,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,5,,12.7
306,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,6,,11.2
307,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,7,,9.67
308,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,8,,7.54
309,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,9,,15.1
310,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,10,,13.6
311,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,11,,12.6
312,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,12,,10.7
313,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,13,,8.6
314,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,14,,10.5
315,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,15,,14.6
316,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,16,,12.7
317,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,17,,11.2
318,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,3,1,18,,9.75
